CustCode,CustName,VouchDate,Voucher,ReffNo,,Debit,,Credit,,Balance,,,,
,,12/2/2019,PI011454,IN1912007,,"41,195.00",,0,,"41,195.00",,,,
,,12/17/2019,PC000563,CN1912004/CN1912007/IN057,,0,,77.66,,-77.66,,,,
,,12/18/2019,PI011587,IN1912043,,"2,171.81",,0,,"2,171.81",,,,
,,12/31/2019,PI011677,IN1912058,,"2,209.20",,0,,"2,209.20",,,,
,,1/2/2020,PI011701,IN2001005,,"2,675.00",,0,,"2,675.00",,,,
,,1/2/2020,PI011702,IN2001006,,"41,195.00",,0,,"41,195.00",,,,
,,2/1/2020,PI011793,IN2001043,,"2,497.26",,0,,"2,497.26",,,,
,,2/11/2020,PI011791,IN2002005,,"2,675.00",,0,,"2,675.00",,,,
,,2/11/2020,PI011792,IN2002006,,"41,195.00",,0,,"41,195.00",,,,
,,2/28/2020,PI011872,IN2002039,,"1,209.13",,0,,"1,209.13",,,,
,,3/2/2020,PI011916,IN2003006,,"41,195.00",,0,,"41,195.00",,,,
,,3/2/2020,PI011926,IN2003005,,"2,675.00",,0,,"2,675.00",,,,
,,3/30/2020,PI011917,IN2003013,,"2,593.78",,0,,"2,593.78",,,,
,,4/1/2020,PI011974,IN2004004,,"2,675.00",,0,,"2,675.00",,,,
,,4/1/2020,PI011976,IN2004005,,"41,195.00",,0,,"41,195.00",,,,
,,,,,,"736,475.10",,77.66,,"736,397.44",,,,
TSA020-SGK,AST Group Pte Ltd - TrustBuild_Sungei Kadut Rdwood,,,,,,,,,,,,,
,,10/1/2019,PI011285,IN1910003,,"3,745.00",,0,,"3,745.00",,,,
,,11/1/2019,PI011447,IN1911003,,"3,745.00",,0,,"3,745.00",,,,
,,12/2/2019,PI011451,IN1912002,,"3,745.00",,0,,"3,745.00",,,,
,,1/15/2020,PC000568,CN2001001,,0,,"3,624.20",,"-3,624.20",,,,
,,,,,,"11,235.00",,"3,624.20",,"7,610.80",,,,
TSA020-TBC,AST Group Pte Ltd-Welltech Tuas Bay Close,,,,,,,,,,,,,
,,1/25/2016,PI006655,IN1601015,,"13,910.00",,0,,"13,910.00",,,,
,,3/22/2016,PC000318,CN1603003,,0,,"27,146.94",,"-27,146.94",,,,
,,3/31/2016,PI006773,IN1602007,,"13,910.00",,0,,"13,910.00",,,,
,,4/30/2017,PC000421,CN1704005,,0,,673.06,,-673.06,,,,
,,,,,,"27,820.00",,"27,820.00",,0,,,,
TSA0356-SG,Anticimex Pest Management Pte Ltd,,,,,,,,,,214,,,
,,5/21/2020,PI012053,AR202005-017448,,214,,0,,214,,,,
,,,,,,214,,0,,214,,,,
TSA202-SGA,AST Group Pte Ltd - Obayashi SGA Coco Project,,,,,,,,,,,,,
,,12/2/2019,PI011452,IN1912005,,"16,050.00",,0,,"16,050.00",,,,
,,1/2/2020,PI011700,IN2001004,,"16,050.00",,0,,"16,050.00",,,,
,,2/11/2020,PI011790,IN2002004,,"16,050.00",,0,,"16,050.00",,,,
,,3/2/2020,PI011915,IN2003004,,"16,050.00",,0,,"16,050.00",,,,
,,4/1/2020,PI011973,IN2004003,,"16,050.00",,0,,"16,050.00",,,,
,,,,,,"80,250.00",,0,,"80,250.00",,,,
TSB002-SGD,Bells Flora Pte Ltd,,,,,,,,,,,,,
,,4/29/2020,PI012024,252376,,107,,0,,107,107,,,
,,,,,,107,,0,,107,,,,
TSB010-SGD,Bok Sing Hardware Paints Pte Ltd,,,,,,,,,,296.39,,,
,,4/23/2020,PI012034,PL57179,,160.5,,0,,160.5,,,,
,,5/1/2020,PI012058,PL56576,,135.89,,0,,135.89,,,,
,,5/30/2020,PI012059,PL58117,,104.86,,0,,104.86,,,,
,,5/30/2020,PI012060,PL58115,,328.49,,0,,328.49,,,,
,,,,,,729.74,,0,,729.74,,,,
TSC004-SGD,Capital Cranes Global Assets Pte Ltd,,,,,,,,,,,,,
,,1/1/2020,PI011688,CCGA-2001/0321,,"11,342.00",,0,,"11,342.00",,,,
,,1/1/2020,PI011689,CCGA-2001/0322,,"15,242.15",,0,,"15,242.15",,,,
,,1/1/2020,PI011690,CCGA-2001/0323,,"71,883.94",,0,,"71,883.94",,,,
,,1/1/2020,PI011691,CCGA-2001/0324,,"36,032.25",,0,,"36,032.25",,,,
,,1/1/2020,PI011692,CCGA-2001/0325,,"2,675.00",,0,,"2,675.00",,,,
,,2/1/2020,PI011816,CCGA-2002/0326,,"53,607.00",,0,,"53,607.00",,,,
,,2/1/2020,PI011817,CCGA-2002/0327,,"11,342.00",,0,,"11,342.00",,,,
,,2/1/2020,PI011818,CCGA-2002/0328,,"15,242.15",,0,,"15,242.15",,,,
,,2/1/2020,PI011819,CCGA-2002/0329,,"77,786.20",,0,,"77,786.20",,,,
,,2/1/2020,PI011820,CCGA-2002/0330,,"35,349.66",,0,,"35,349.66",,,,
,,2/1/2020,PI011821,CCGA-2002/0331,,"2,675.00",,0,,"2,675.00",,,,
,,3/1/2020,PI011897,CCGA-2003/0332,,"53,607.00",,0,,"53,607.00",,,,
,,3/1/2020,PI011898,CCGA-2003/0333,,"11,342.00",,0,,"11,342.00",,,,
,,3/1/2020,PI011899,CCGA-2003/0334,,"15,242.15",,0,,"15,242.15",,,,
,,3/1/2020,PI011900,CCGA-2003/0335,,"75,093.94",,0,,"75,093.94",,,,
,,3/1/2020,PI011901,CCGA-2003/0336,,"41,527.06",,0,,"41,527.06",,,,
,,3/1/2020,PI011902,CCGA-2003/0337,,"2,675.00",,0,,"2,675.00",,,,
,,3/27/2020,PC000579,CNCCGA-2003/1028,,0,,"2,386.57",,"-2,386.57",,,,
,,4/1/2020,PI011995,CCGA-2004/0338,,"47,915.94",,0,,"47,915.94",,,,
,,4/1/2020,PI011996,CCGA-2004/0339,,"16,728.89",,0,,"16,728.89",,,,
,,4/1/2020,PI011997,CCGA-2004/0340,,"15,242.15",,0,,"15,242.15",,,,
,,4/1/2020,PI011998,CCGA-2004/0341,,"75,093.94",,0,,"75,093.94",,,,
,,4/1/2020,PI011999,CCGA-2004/0342,,"39,991.25",,0,,"39,991.25",,,,
,,4/1/2020,PI012000,CCGA-2004/0343,,"2,675.00",,0,,"2,675.00",,,,
,,5/1/2020,PI012061,CCGA-2005/0344,,"47,915.94",,0,,"47,915.94",,,,
,,5/1/2020,PI012062,CCGA-2005/0345,,"13,482.00",,0,,"13,482.00",,,,
,,5/1/2020,PI012063,CCGA-2005/0346,,"15,242.15",,0,,"15,242.15",,,,
,,5/1/2020,PI012064,CCGA-2005/0347,,"75,093.94",,0,,"75,093.94",,,,
,,5/1/2020,PI012065,CCGA-2005/0348,,"39,991.25",,0,,"39,991.25",,,,
,,5/1/2020,PI012066,CCGA-2005/0349,,"2,675.00",,0,,"2,675.00",,,,
,,,,,,"924,711.95",,"2,386.57",,"922,325.38",,,,
TSC012-SGD,Causeway Paints Pte Ltd,,,,,,,,,,979.05,,,
,,3/6/2020,PI011945,280020,,378.78,,0,,378.78,,,,
,,3/13/2020,PI011946,280292,,303.88,,0,,303.88,,,,
,,4/3/2020,PI012033,280993,,296.39,,0,,296.39,,,,
,,,,,,979.05,,0,,979.05,,,,
TSC022-SGD,Crimson(S) Pte Ltd,,,,,,,,,,"1,219.80",,,
,,4/1/2020,PI011971,A153102,,577.8,,0,,577.8,,,,
,,4/1/2020,PI012025,A152940,,64.2,,0,,64.2,,,,
,,4/30/2020,PI012035,A153931,,577.8,,0,,577.8,,,,
,,5/31/2020,PI012054,A154762,,577.8,,0,,577.8,,,,
,,,,,,"1,797.60",,0,,"1,797.60",,,,
TSC026-SGD,Capital Development (Tuas) Pte Ltd,,,,,,,,,,940.44,,,
,,5/15/2020,PI012067,TS/2020/05/063,,940.44,,0,,940.44,,,,
,,,,,,940.44,,0,,940.44,,,,
TSD004-SGD,Danox Welding Pte Ltd,,,,,,,,,,770.08,,,
,,4/1/2020,PI011987,INV-20/03/0152,,421.15,,0,,421.15,,,,
,,4/1/2020,PI011988,INV-20/03/0468,,148.3,,0,,148.3,,,,
,,4/27/2020,PI012026,INV-20/04/0267,,200.63,,0,,200.63,,,,
,,,,,,770.08,,0,,770.08,,,,
TSD007-SGD,De Man's Garage,,,,,,,,,,"2,413.49",,,
,,5/19/2020,PI012068,0520-018759,,59.99,,0,,59.99,,,,
